Technologie,itération,Capacité,zipf_parameter,Nombre de Fogs, Hit rate, Ratio OriginUser,Latence_P50,Latence_P90,Latence_P99
LRU,1000000,50000000,0.1,1,0.0709429543923441,92.35173023508159,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,1,0.06664344699067046,92.66791622504793,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,1,0.0700212022575925,92.06546250860717,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,1,0.06664287095286961,92.76094186000536,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,1,0.0727642638629006,92.19666886071279,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,1,0.061805926498667556,93.34753532315632,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,1,0.06349848572295573,93.14060802505122,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,1,0.06689092213850018,92.49173680647651,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,1,0.06974610063908268,92.11361838199463,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,1,0.07019933799190879,92.43192305455598,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,1,0.06498489648567007,92.93869278341826,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,1,0.07218570937088489,92.20576197099699,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,1,0.08337015627958987,90.8911442993808,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,1,0.06468913734064936,92.8316494868655,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,1,0.08477663344040799,90.78278127623304,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,1,0.10902607802254254,88.78703606394811,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,2,0.06536776573668435,92.955869148407,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,1,0.07724466072561799,91.36461966670883,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,1,0.07542348394553401,91.64618980562767,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,1,0.07605596762914572,91.55503047115802,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,2,0.065023721353951,92.83010167610645,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,1,0.07568501427765793,91.5679030793614,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,1,0.07700719510912833,91.46520169175065,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,1,0.10815801304002824,88.76320949769703,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,1,0.10112603576890476,89.50394023855907,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,2,0.06278866780087285,93.26127795135328,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,2,0.06815352296396661,92.34036100110357,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,2,0.07087415889505372,92.40440380120583,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,2,0.06689698025586215,92.61752627180458,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,1,0.10228507934974275,89.33502422374644,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,2,0.06843460518382778,92.49591928381611,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,1,0.09967819426188641,89.71293864829016,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,2,0.07460604801614387,91.77727079029896,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,2,0.07112150994166885,92.32341334436262,284.0040000000008,284.00400000001537,284.00400000001537
