Technologie,itération,Capacité,Nombre de Fogs, Hit rate, Ratio OriginUser,Latence_P50,Latence_P90,Latence_P99
LRU,1000000,50000000,1,0.0731854449281607,92.03613030163527,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,1,0.07883967546023914,91.47763725599408,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,1,0.07590825698967506,91.86720299900122,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,1,0.07794523103712764,91.26566166791963,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,1,0.07428432165105331,92.12241280876839,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,1,0.08132486372245919,90.93694802137769,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,1,0.07390700490260087,91.78470332216143,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,1,0.07527398948284207,91.8198650541635,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,1,0.07825716853879076,91.78162767082263,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,1,0.07130601819225268,92.10216391680176,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,1,0.08572974322693412,90.15408831619477,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,1,0.09076394844690822,89.72328836519412,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,1,0.08706902185860531,90.20987923157931,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,1,0.08786960672125413,89.77035091675101,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,1,0.08616093320454714,90.26380250787513,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,1,0.09194789184832214,89.13160090602776,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,1,0.08459195668435864,90.03010528537045,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,1,0.08681649097369953,90.08271354221245,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,1,0.09154663581504492,89.71081801266259,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,1,0.08234831982287612,90.40048518321213,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,1,0.09054493866310606,89.76911817522499,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,1,0.09576691536808007,89.36300053390612,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,1,0.09207563355613539,89.79537645978401,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,1,0.09413774019435733,89.4101219923543,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,1,0.09245494622180597,89.85426848677939,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,1,0.09823621410434048,88.70667387544592,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,1,0.09103204203953719,89.6017423401059,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,1,0.09256059486641721,89.6130569764905,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,1,0.09712017843085805,89.23018637004076,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,1,0.08726056098419956,90.12464683224323,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,1,0.10455137953508581,90.10994226370282,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,1,0.11019120003137889,89.83458796044876,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,1,0.10697368301879957,90.26784898963996,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,1,0.11111883126298999,89.81075613753356,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,1,0.106899003191602,90.45472092545012,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,1,0.11572884814493953,89.19953558237609,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,1,0.10515925124294757,90.13890631462266,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,1,0.10788366695677401,90.12090692129264,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,1,0.1144540003633941,89.72353762350431,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,1,0.10388993446174515,90.42769001583358,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,500000000,1,0.13696842567411002,88.66986256511682,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,1,0.13859412611417285,88.4828397192115,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,1,0.1344296242158475,88.96204014070442,200.00399999999718,200.00400000001537,200.00400000001537
LRU,1000000,500000000,1,0.1353303234184991,88.99515990161804,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,1,0.1335185004512305,89.19784063866805,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,1,0.14552592805000442,88.02193817874105,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,1,0.13119365594085056,89.2352051879555,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,1,0.13539502545845042,89.08255073368814,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,1,0.14563157330720594,88.44041777993063,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,1,0.1334440989805081,89.19448863353298,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,50000000,2,0.07979060306200306,90.24401863882282,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,2,0.08558777376399548,89.93554275134515,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,2,0.08062466648387771,90.62488578234601,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,2,0.082715336722252,90.0733879057346,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,2,0.08172339320697714,90.40378637023491,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,2,0.08617278006447104,89.45260390808285,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,2,0.07948804112649817,90.32520425558297,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,2,0.08081713530854878,90.475896305116,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,2,0.08551180128248556,89.86163102460205,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,2,0.07742954030090793,90.75783144991571,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,2,0.08447258981442592,90.16902122307754,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,2,0.09087570487608397,90.06998816100445,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,2,0.08662018513695874,90.3126037933162,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,2,0.08893304039369193,89.95196081773372,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,2,0.08758888170652876,90.3872828290421,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,2,0.09172062836492367,89.35270974552739,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,2,0.08521225360909578,90.17949401125985,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,2,0.08705269774999704,90.46393592739908,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,2,0.09125095864288739,89.78488974082448,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,2,0.08243053823218464,90.73600304076636,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,2,0.08872710625432904,90.3800589413523,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,2,0.0946101548669275,90.29024358798837,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,2,0.09012860215437614,90.67229074616287,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,2,0.09331745795505283,90.16091026314452,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,2,0.09203718228205213,90.68454063566399,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,2,0.09728226017148421,89.62199875793816,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,2,0.08927434091869595,90.49177977786971,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,2,0.09052986624475214,90.75513030133546,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,2,0.09542422518091277,90.20459312195656,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,2,0.08739750642497038,90.87603104334201,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,2,0.11060431585639402,89.3590107512696,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,2,0.1168710037308509,89.02499655847713,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,2,0.11599488509473381,89.27129561187785,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,2,0.11245963433812318,89.4564689521452,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,2,0.11355953085700034,89.50135918870048,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,2,0.11958602303533182,88.55727168545972,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,2,0.11171013152085442,89.45318729839434,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,2,0.11401091884778213,89.53214711016471,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,2,0.11620969484526182,89.05646325615227,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,2,0.11193868349864743,89.41784698740202,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,2,0.1479216243129492,85.58481575592526,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,2,0.14982328751452534,85.56955827074856,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,2,0.1514755582377791,85.94790608405476,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,2,0.1504224129093727,85.75277340445292,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,2,0.14781851017706987,86.0676319060552,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,2,0.1539375776668502,85.14800788664067,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,2,0.14687378476880086,85.78979288914435,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,2,0.15168223791089666,85.97791586797767,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,2,0.1483074491541016,85.98544545780797,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,2,0.1480900510104042,85.80874338282453,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,50000000,3,0.08043389998058219,90.22218890221133,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,3,0.08482836621083709,89.95625557293143,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,3,0.08190540055646732,90.2112325634418,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,3,0.08368114688762018,89.90920987594711,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,3,0.08170385921108032,90.31949720667744,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,3,0.08606918165172074,89.54412622956048,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,3,0.07921605099965565,90.30251482986363,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,3,0.08279711057864961,90.13038882845287,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,3,0.0847336116750747,89.8675140037249,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,3,0.07784802280897483,90.623020966679,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,3,0.08457050942776971,90.44120625716194,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,3,0.08816495015826523,90.22398006479713,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,3,0.08532551340453647,90.50685881584901,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,3,0.08943701193283485,90.15777537238905,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,3,0.08528123528523326,90.6854273790809,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,3,0.09032067560385047,89.87094646291715,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,3,0.08323858926075937,90.69110895685658,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,3,0.08721431300366354,90.49949086204485,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,3,0.09031086504535359,90.15856923072164,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,3,0.08230087444864617,90.8542219644913,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,3,0.09163161745896714,90.44426795098043,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,3,0.09357276481697248,90.1819484659489,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,3,0.09154707974374655,90.44755862058767,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,3,0.09487473391190437,90.29980008038275,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,3,0.0904741954366229,90.62795839100276,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,3,0.09615367510369631,89.72079698460783,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,3,0.0889328415388179,90.5179771445475,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,3,0.09163180663243144,90.64955699383859,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,3,0.0972758950249022,89.94328098364636,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,3,0.08869414885689589,90.80667244871033,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,3,0.1202104287785267,87.91178947154773,200.0039999999999,200.00400000001537,200.00400000001537
LRU,1000000,300000000,3,0.11977413594178098,87.8338224907991,200.0039999999999,200.00400000001537,200.00400000001537
LRU,1000000,300000000,3,0.11882837692583303,88.18458114607107,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,3,0.11847490486106124,88.29556976435863,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,3,0.11542265367526884,88.43998084385038,200.0039999999999,200.00400000001537,200.00400000001537
LRU,1000000,300000000,3,0.12376823254220116,87.2447474645341,200.0039999999999,200.00400000001537,200.00400000001537
LRU,1000000,300000000,3,0.11438502817519687,88.2754330297961,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,3,0.12136674423195411,88.11968915059593,200.0039999999999,200.00400000001537,200.00400000001537
LRU,1000000,300000000,3,0.12388981601172652,87.63987073212213,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,300000000,3,0.1167171177321273,88.26553245982704,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,3,0.15188128543517088,84.34636484442551,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,3,0.15410275511516794,84.19068261621103,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,3,0.15271853733346114,84.54223779882007,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,3,0.14767185897397447,85.1273472611253,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,3,0.1457328410897626,85.18202316392383,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,3,0.15431453275411855,83.80547069394979,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,3,0.1460404709939913,84.87142246197915,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,3,0.1572965378405016,84.04412244867959,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,3,0.15401052234651919,84.27545309528475,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,500000000,3,0.14576493762311227,84.99630789527845,200.00399999998626,200.00400000001537,200.00400000001537
LRU,1000000,50000000,4,0.08012566886606794,90.28934015430052,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,4,0.08570278221054518,89.94911692660861,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,4,0.08162731356271019,90.41454056149365,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,4,0.08335461298910188,89.84041755272065,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,4,0.08146936181107112,90.45823056235628,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,4,0.08712380025160626,89.46353385454535,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,4,0.07945550527015813,90.42434807548945,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,4,0.08240533865550424,90.34667377445324,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,4,0.08557701077730147,89.95568707165198,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,50000000,4,0.07734143781909938,90.75602734509023,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,4,0.08557095615856508,90.45156808139268,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,4,0.08947954808070241,90.28746684115968,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,4,0.08626266982963122,90.57539990094041,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,4,0.08782187573824711,90.1304607238876,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,4,0.0863050777263382,90.61764060851127,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,4,0.09078487617158912,89.8850628809248,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,4,0.08384805755055336,90.62090438449954,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,4,0.08550987391789136,90.63441019641466,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,4,0.09046417147743648,90.24994451954655,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,100000000,4,0.08289516583182667,90.8512221487298,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,4,0.0948053991314131,89.90640647015525,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,4,0.09818353203421884,89.73465845082704,200.00400000000081,200.00400000001537,200.00400000001537
LRU,1000000,150000000,4,0.09528394396072866,89.97459554816012,200.00400000000081,200.00400000001537,200.00400000001537
