Technologie,itération,Capacité,zipf_parameter,Nombre de Fogs, Hit rate, Ratio OriginUser,Latence_P50,Latence_P90,Latence_P99
LRU,1000000,100000000,0.1,1,0.0908381674561826,89.57091096983692,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,1,0.08394172321744445,90.48183847539472,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,1,0.08892351527023418,89.11746879998668,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,1,0.08482285538417832,89.99438512724825,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,1,0.0949427565864052,88.69728998827205,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,1,0.08585238002118947,89.91636494582607,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,1,0.08677945319456407,89.99862894772967,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,1,0.08593146668165827,90.30741158099671,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,1,0.0886849250383662,89.71717612594256,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,1,0.0859728106041596,90.16624524306495,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,1,0.08411966231701043,90.42036862827308,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,1,0.08206154835315779,90.23937688592233,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,1,0.09076847255539985,89.29045849107679,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,1,0.09146629649336095,89.21777069773448,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,1,0.10325344053505144,87.91369679820778,284.0039999999999,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,1,0.10044268874215853,88.41367689180558,284.00399999999945,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,1,0.10434761773550096,87.87280484774045,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,1,0.09321500652973999,88.85611218466603,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,1,0.09714495926497506,88.35470817217333,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,1,0.09790573879634588,88.63101531328397,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,1,0.12976534518586236,86.0506749027189,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,1,0.1344431832513558,85.42989038788475,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,1,0.1348526501320404,85.49661928942348,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,1,0.1309372530994932,85.93203583218757,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,2,0.08759980522947136,90.03290317837788,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,1,0.1350994373740109,85.270359882563,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,2,0.08704319132811786,89.42981723865186,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,2,0.08258045970268336,90.24334161816762,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,2,0.0928595462836701,89.20977508692762,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,2,0.08944204540091558,89.55246529259188,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,2,0.08456160518953412,90.36599351774424,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,2,0.08462021748831529,90.40833272538484,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,2,0.08696492980980816,89.89749425761912,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,2,0.08952286823540552,89.35760775768372,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,2,0.09155960270763129,89.14449125019705,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,2,0.09555343635792853,89.04106667360338,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,2,0.09064874497947459,89.46989229540623,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,2,0.09190409595145539,89.5817032417562,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,2,0.09364002682381148,89.32108544539585,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,2,0.11888619710596961,86.93107104791044,284.00399999998626,284.00400000001537,284.00400000001537
